anemia anaemia
hyperkalemia hyperkalaemia
hypokalemia hypokalaemia
leukemia leukaemia
edema oedema
pediatric paediatric
fetus foetus
hemoglobin haemoglobin
hematology haematology
hemorrhoids haemorrhoids
esophagus oesophagus
estrogen oestrogen
cesarean caesarean
diarrhea diarrhoea
orthopedic orthopaedic
gynecology gynaecology
anesthesia anaesthesia
immunization immunisation
general anesthesia general anaesthesia
tumor tumour
behavior behaviour
color colour
metastasize metastasise
localize localise
vaporize vaporise
anesthetize anaesthetise
agonize agonise
canalize canalise
anesthetist anaesthetist
appendectomy appendicectomy
pediatrician paediatrician
hemiplegia hemiplegia
hypoglycemia hypoglycaemia
hyperglycemia hyperglycaemia
bacteremia bacteraemia
ischemia ischaemia
glycemia glycaemia
hypoxemia hypoxaemia
toxemia toxaemia
uremia uraemia
proctology proctology
immunology immunology
nephrology nephrology
hematopoiesis haematopoiesis
hemolysis haemolysis
paralyze paralyse
anesthetized anaesthetised
vascularization vascularisation
organization organisation
specialization specialisation
generalization generalisation
minimization minimisation
maximization maximisation
neoplasm neoplasm
gonorrhea gonorrhoea
diarrheal diarrhoeal
fiberglass fibreglass
amniotic sac amniotic sac
ligamentum flavum ligamentum flavum
